puzzle_id,seconds_spent_solving,author,editor,format_type,print_date,publish_type,title,version,percent_filled,solved,star,day
9548,59.0,Joel Fagliano,,Normal,2014-11-09,Mini,,3,100,True,,Sunday
9561,64.0,Joel Fagliano,,Normal,2014-11-10,Mini,,3,100,True,,Monday
9562,77.0,Joel Fagliano,,Normal,2014-11-11,Mini,,4,100,True,,Tuesday
9560,64.0,Joel Fagliano,,Normal,2014-11-12,Mini,,4,100,True,,Wednesday
9557,116.0,Joel Fagliano,,Normal,2014-11-13,Mini,,4,100,True,,Thursday
9558,67.0,Joel Fagliano,,Normal,2014-11-14,Mini,,3,100,True,,Friday
9559,95.0,Joel Fagliano,,Normal,2014-11-15,Mini,,3,100,True,,Saturday
9574,152.0,Joel Fagliano,,Normal,2014-11-16,Mini,,4,100,True,,Sunday
9575,64.0,Joel Fagliano,,Normal,2014-11-17,Mini,,3,100,True,,Monday
9573,192.0,Joel Fagliano,,Normal,2014-11-18,Mini,,3,100,True,,Tuesday
9571,73.0,Joel Fagliano,,Normal,2014-11-19,Mini,,4,100,True,,Wednesday
9572,79.0,Joel Fagliano,,Normal,2014-11-20,Mini,,3,100,True,,Thursday
9578,56.0,Joel Fagliano,,Normal,2014-11-21,Mini,,5,100,True,,Friday
9579,84.0,Joel Fagliano,,Normal,2014-11-22,Mini,,5,100,True,,Saturday
9582,90.0,Joel Fagliano,,Normal,2014-11-23,Mini,,3,100,True,,Sunday
9577,100.0,Joel Fagliano,,Normal,2014-11-24,Mini,,3,100,True,,Monday
9590,77.0,Joel Fagliano,,Normal,2014-11-25,Mini,,4,100,True,,Tuesday
9580,108.0,Joel Fagliano,,Normal,2014-11-26,Mini,,4,100,True,,Wednesday
9581,87.0,Joel Fagliano,,Normal,2014-11-27,Mini,,3,100,True,,Thursday
9593,114.0,Joel Fagliano,,Normal,2014-11-28,Mini,,3,100,True,,Friday
9592,72.0,Joel Fagliano,,Normal,2014-11-29,Mini,,3,100,True,,Saturday
9594,91.0,Joel Fagliano,,Normal,2014-11-30,Mini,,4,100,True,,Sunday
9591,137.0,Joel Fagliano,,Normal,2014-12-01,Mini,,4,100,True,,Monday
9604,130.0,Joel Fagliano,,Normal,2014-12-02,Mini,,4,100,True,,Tuesday
9606,69.0,Joel Fagliano,,Normal,2014-12-03,Mini,,3,100,True,,Wednesday
9605,92.0,Joel Fagliano,,Normal,2014-12-04,Mini,,4,100,True,,Thursday
9608,163.0,Joel Fagliano,,Normal,2014-12-05,Mini,,3,100,True,,Friday
9610,175.0,Joel Fagliano,,Normal,2014-12-06,Mini,,4,100,True,,Saturday
9609,72.0,Joel Fagliano,,Normal,2014-12-07,Mini,,3,100,True,,Sunday
9607,101.0,Joel Fagliano,,Normal,2014-12-08,Mini,,3,100,True,,Monday
9611,167.0,Joel Fagliano,,Normal,2014-12-09,Mini,,4,100,True,,Tuesday
9621,92.0,Joel Fagliano,,Normal,2014-12-10,Mini,,3,100,True,,Wednesday
9624,122.0,Joel Fagliano,,Normal,2014-12-11,Mini,,4,100,True,,Thursday
9623,67.0,Joel Fagliano,,Normal,2014-12-12,Mini,,3,100,True,,Friday
9620,165.0,Joel Fagliano,,Normal,2014-12-13,Mini,,3,100,True,,Saturday
9622,49.0,Joel Fagliano,,Normal,2014-12-14,Mini,,3,100,True,,Sunday
9634,82.0,Joel Fagliano,,Normal,2014-12-15,Mini,,2,100,True,,Monday
9633,134.0,Joel Fagliano,,Normal,2014-12-16,Mini,,3,100,True,,Tuesday
9635,28.0,Joel Fagliano,,Normal,2014-12-17,Mini,,4,100,True,,Wednesday
9636,44.0,Joel Fagliano,,Normal,2014-12-18,Mini,,6,100,True,,Thursday
9637,88.0,Joel Fagliano,,Normal,2014-12-19,Mini,,4,100,True,,Friday
9638,32.0,Joel Fagliano,,Normal,2014-12-20,Mini,,6,100,True,,Saturday
9647,87.0,Joel Fagliano,,Normal,2014-12-21,Mini,,4,100,True,,Sunday
9648,77.0,Joel Fagliano,,Normal,2014-12-22,Mini,,5,100,True,,Monday
9649,119.0,Joel Fagliano,,Normal,2014-12-23,Mini,,4,100,True,,Tuesday
9650,103.0,Joel Fagliano,,Normal,2014-12-24,Mini,,4,100,True,,Wednesday
9651,92.0,Joel Fagliano,,Normal,2014-12-25,Mini,,3,100,True,,Thursday
9660,145.0,Joel Fagliano,,Normal,2014-12-26,Mini,,3,100,True,,Friday
9659,106.0,Joel Fagliano,,Normal,2014-12-27,Mini,,3,100,True,,Saturday
9662,90.0,Joel Fagliano,,Normal,2014-12-28,Mini,,3,100,True,,Sunday
9664,142.0,Joel Fagliano,,Normal,2014-12-29,Mini,,3,100,True,,Monday
9666,61.0,Joel Fagliano,,Normal,2014-12-30,Mini,,3,100,True,,Tuesday
9665,103.0,Joel Fagliano,,Normal,2014-12-31,Mini,,4,100,True,,Wednesday
9663,110.0,Joel Fagliano,,Normal,2015-01-01,Mini,,4,100,True,,Thursday
9670,53.0,Joel Fagliano,,Normal,2015-01-02,Mini,,3,100,True,,Friday
9669,67.0,Joel Fagliano,,Normal,2015-01-03,Mini,,4,100,True,,Saturday
9668,54.0,Joel Fagliano,,Normal,2015-01-04,Mini,,3,100,True,,Sunday
9667,104.0,Joel Fagliano,,Normal,2015-01-05,Mini,,3,100,True,,Monday
9683,58.0,Joel Fagliano,,Normal,2015-01-06,Mini,,3,100,True,,Tuesday
9682,58.0,Joel Fagliano,,Normal,2015-01-07,Mini,,3,100,True,,Wednesday
9680,97.0,Joel Fagliano,,Normal,2015-01-08,Mini,,3,100,True,,Thursday
9681,81.0,Joel Fagliano,,Normal,2015-01-09,Mini,,3,100,True,,Friday
9679,42.0,Joel Fagliano,,Normal,2015-01-10,Mini,,3,100,True,,Saturday
9686,68.0,Joel Fagliano,,Normal,2015-01-11,Mini,,3,100,True,,Sunday
9698,89.0,Joel Fagliano,,Normal,2015-01-12,Mini,,3,100,True,,Monday
9699,37.0,Joel Fagliano,,Normal,2015-01-13,Mini,,3,100,True,,Tuesday
9694,113.0,Joel Fagliano,,Normal,2015-01-14,Mini,,3,100,True,,Wednesday
9695,137.0,Joel Fagliano,,Normal,2015-01-15,Mini,,4,100,True,,Thursday
9696,78.0,Joel Fagliano,,Normal,2015-01-16,Mini,,3,100,True,,Friday
9697,46.0,Joel Fagliano,,Normal,2015-01-17,Mini,,3,100,True,,Saturday
9700,98.0,Joel Fagliano,,Normal,2015-01-18,Mini,,3,100,True,,Sunday
9701,133.0,Joel Fagliano,,Normal,2015-01-19,Mini,,5,100,True,,Monday
9702,70.0,Joel Fagliano,,Normal,2015-01-20,Mini,,3,100,True,,Tuesday
9703,93.0,Joel Fagliano,,Normal,2015-01-21,Mini,,3,100,True,,Wednesday
9711,43.0,Joel Fagliano,,Normal,2015-01-22,Mini,,5,100,True,,Thursday
9712,77.0,Joel Fagliano,,Normal,2015-01-23,Mini,,3,100,True,,Friday
9713,84.0,Joel Fagliano,,Normal,2015-01-24,Mini,,4,100,True,,Saturday
9720,51.0,Joel Fagliano,,Normal,2015-01-25,Mini,,6,100,True,,Sunday
9717,110.0,Joel Fagliano,,Normal,2015-01-26,Mini,,6,100,True,,Monday
9718,93.0,Joel Fagliano,,Normal,2015-01-27,Mini,,4,100,True,,Tuesday
9716,75.0,Joel Fagliano,,Normal,2015-01-28,Mini,,3,100,True,,Wednesday
9719,46.0,Joel Fagliano,,Normal,2015-01-29,Mini,,3,100,True,,Thursday
9722,65.0,Joel Fagliano,,Normal,2015-01-30,Mini,,3,100,True,,Friday
9723,70.0,Joel Fagliano,,Normal,2015-01-31,Mini,,4,100,True,,Saturday
9721,56.0,Joel Fagliano,,Normal,2015-02-01,Mini,,5,100,True,,Sunday
9733,78.0,Joel Fagliano,,Normal,2015-02-02,Mini,,3,100,True,,Monday
9734,96.0,Joel Fagliano,,Normal,2015-02-03,Mini,,4,100,True,,Tuesday
9735,98.0,Joel Fagliano,,Normal,2015-02-04,Mini,,6,100,True,,Wednesday
9738,88.0,Joel Fagliano,,Normal,2015-02-05,Mini,,7,100,True,,Thursday
9740,143.0,Joel Fagliano,,Normal,2015-02-06,Mini,,3,100,True,,Friday
9739,132.0,Joel Fagliano,,Normal,2015-02-07,Mini,,13,100,True,,Saturday
9741,110.0,Joel Fagliano,,Normal,2015-02-08,Mini,,7,100,True,,Sunday
9742,109.0,Joel Fagliano,,Normal,2015-02-09,Mini,,3,100,True,,Monday
9743,118.0,Joel Fagliano,,Normal,2015-02-10,Mini,,11,100,True,,Tuesday
9766,66.0,Joel Fagliano,,Normal,2015-02-11,Mini,,3,100,True,,Wednesday
9767,33.0,Joel Fagliano,,Normal,2015-02-12,Mini,,3,100,True,,Thursday
9769,127.0,Joel Fagliano,,Normal,2015-02-13,Mini,,3,100,True,,Friday
9770,62.0,Joel Fagliano,,Normal,2015-02-14,Mini,,5,100,True,,Saturday
9771,190.0,Joel Fagliano,,Normal,2015-02-15,Mini,,3,100,True,,Sunday
9772,163.0,Joel Fagliano,,Normal,2015-02-16,Mini,,3,100,True,,Monday
9783,69.0,Joel Fagliano,,Normal,2015-02-17,Mini,,3,100,True,,Tuesday
9781,51.0,Joel Fagliano,,Normal,2015-02-18,Mini,,4,100,True,,Wednesday
9782,184.0,Joel Fagliano,,Normal,2015-02-19,Mini,,5,100,True,,Thursday
9784,61.0,Joel Fagliano,,Normal,2015-02-20,Mini,,3,100,True,,Friday
9785,83.0,Joel Fagliano,,Normal,2015-02-21,Mini,,5,100,True,,Saturday
9787,115.0,Joel Fagliano,,Normal,2015-02-22,Mini,,4,100,True,,Sunday
9788,98.0,Joel Fagliano,,Normal,2015-02-23,Mini,,4,100,True,,Monday
9803,231.0,Joel Fagliano,,Normal,2015-02-24,Mini,,3,100,True,,Tuesday
9802,52.0,Joel Fagliano,,Normal,2015-02-25,Mini,,4,100,True,,Wednesday
9798,91.0,Joel Fagliano,,Normal,2015-02-26,Mini,,3,100,True,,Thursday
9801,63.0,Joel Fagliano,,Normal,2015-02-27,Mini,,5,100,True,,Friday
9804,48.0,Joel Fagliano,,Normal,2015-02-28,Mini,,5,100,True,,Saturday
9800,80.0,Joel Fagliano,,Normal,2015-03-01,Mini,,3,100,True,,Sunday
9799,63.0,Joel Fagliano,,Normal,2015-03-02,Mini,,3,100,True,,Monday
9815,83.0,Joel Fagliano,,Normal,2015-03-03,Mini,,3,100,True,,Tuesday
9817,117.0,Joel Fagliano,,Normal,2015-03-04,Mini,,4,100,True,,Wednesday
9816,61.0,Joel Fagliano,,Normal,2015-03-05,Mini,,5,100,True,,Thursday
9820,86.0,Joel Fagliano,,Normal,2015-03-06,Mini,,3,100,True,,Friday
9819,73.0,Joel Fagliano,,Normal,2015-03-07,Mini,,4,100,True,,Saturday
9830,111.0,Joel Fagliano,,Normal,2015-03-08,Mini,,6,100,True,,Sunday
9829,117.0,Joel Fagliano,,Normal,2015-03-09,Mini,,5,100,True,,Monday
9828,94.0,Joel Fagliano,,Normal,2015-03-10,Mini,,3,100,True,,Tuesday
9835,132.0,Joel Fagliano,,Normal,2015-03-11,Mini,,3,100,True,,Wednesday
9833,106.0,Joel Fagliano,,Normal,2015-03-12,Mini,,3,100,True,,Thursday
9836,52.0,Joel Fagliano,,Normal,2015-03-13,Mini,,8,100,True,,Friday
9837,57.0,Joel Fagliano,,Normal,2015-03-14,Mini,,5,100,True,,Saturday
9847,46.0,Joel Fagliano,,Normal,2015-03-15,Mini,,3,100,True,,Sunday
